title,platform,score,genre,release_year,release_month,Game_genre_rate,Prop_of_genre_on_platf,Mean_score_per_genre
Lords of the Fallen,PC,8.0,Action,2023,10,1.162,0.243,7.019
NHL 24,PlayStation 4,7.0,Sports,2023,10,0.995,0.075,7.304
NHL 24,Xbox One,7.0,Sports,2023,10,0.995,0.079,7.071
Total War: Pharaoh,PC,8.0,Action,2023,10,1.162,0.243,7.019
Total War: Pharaoh,Macintosh,8.0,Action,2023,10,1.162,0.226,7.661
Cricket 24,PC,5.0,Sports,2024,3,0.71,0.053,7.0
Cricket 24,Xbox One,5.0,Sports,2024,3,0.71,0.079,7.071
Cricket 24,PlayStation 4,5.0,Sports,2024,3,0.71,0.075,7.304
Cricket 24,PlayStation 5,5.0,Sports,2024,3,0.71,0.076,6.545
FC 24,Nintendo Switch,4.0,Sports,2023,9,0.568,0.085,5.8
FC 24,PC,4.0,Sports,2023,9,0.568,0.053,7.0
FC 24,PlayStation 4,4.0,Sports,2023,9,0.568,0.075,7.304
FC 24,Xbox One,4.0,Sports,2023,9,0.568,0.079,7.071
Assassin's Creed Mirage,PlayStation 5,8.0,Ubisoft,2024,6,1.125,0.049,7.0
Assassin's Creed Mirage,Xbox One,8.0,Ubisoft,2024,6,1.125,0.032,6.961
Assassin's Creed Mirage,PC,8.0,Ubisoft,2024,6,1.125,0.005,7.336
Forza Motorsport,PC,8.0,Racing,2023,10,1.173,0.06,7.141
High on Knife,PC,6.0,Action,2023,10,0.871,0.243,7.019
Avatar: The Last Airbender: Quest for Balance,Xbox One,4.0,Action,2023,9,0.581,0.349,7.329
Avatar: The Last Airbender: Quest for Balance,PlayStation 4,4.0,Action,2023,9,0.581,0.355,7.387
Avatar: The Last Airbender: Quest for Balance,PC,4.0,Action,2023,9,0.581,0.243,7.019
Cocoon,Nintendo Switch,9.0,Action,2023,9,1.307,0.356,7.881
Cocoon,PlayStation 4,9.0,Action,2023,9,1.307,0.355,7.387
Cocoon,PC,9.0,Action,2023,9,1.307,0.243,7.019
The Lamplighters League,PC,7.0,Adventure,2023,10,0.996,0.119,7.203
FC 24,Nintendo Switch,7.0,Sports,2023,9,0.995,0.085,5.8
FC 24,PC,7.0,Sports,2023,9,0.995,0.053,7.0
FC 24,PlayStation 4,7.0,Sports,2023,9,0.995,0.075,7.304
FC 24,Xbox One,7.0,Sports,2023,9,0.995,0.079,7.071
Super Bomberman R2,Xbox Series X|S,7.0,Action,2023,9,1.017,0.402,6.639
Super Bomberman R2,PlayStation 4,7.0,Action,2023,9,1.017,0.355,7.387
Super Bomberman R2,PC,7.0,Action,2023,9,1.017,0.243,7.019
Super Bomberman R2,Xbox One,7.0,Action,2023,9,1.017,0.349,7.329
Mineko's Night Market,PC,5.0,Adventure,2023,10,0.711,0.119,7.203
Mineko's Night Market,Xbox Series X|S,5.0,Adventure,2023,10,0.711,0.126,7.025
Mineko's Night Market,Xbox One,5.0,Adventure,2023,10,0.711,0.137,7.326
Mineko's Night Market,PlayStation 4,5.0,Adventure,2023,10,0.711,0.142,7.386
The Making of Karateka,PC,9.0,Compilation,2023,8,1.209,0.002,8.587
The Making of Karateka,PlayStation 4,9.0,Compilation,2023,8,1.209,0.003,8.6
The Making of Karateka,Xbox One,9.0,Compilation,2023,8,1.209,0.005,8.825
Resident Evil 4: Separate Ways,PC,9.0,Action,2023,9,1.307,0.243,7.019
Resident Evil 4: Separate Ways,Xbox One,9.0,Action,2023,9,1.307,0.349,7.329
Resident Evil 4: Separate Ways,PlayStation 4,9.0,Action,2023,9,1.307,0.355,7.387
Cyberpunk 2077: Phantom Liberty,PlayStation 5,9.0,Sci-Fi,2023,9,1.461,0.021,6.0
Mortal Kombat 1,PlayStation 5,3.0,Fighting,2023,9,0.425,0.049,6.971
Mortal Kombat 1,PC,3.0,Fighting,2023,9,0.425,0.009,7.345
PayDay 3,PC,7.0,PC,2023,9,0.953,0.009,7.247
Mortal Kombat 1,PlayStation 5,8.0,Fighting,2023,9,1.133,0.049,6.971
Mortal Kombat 1,PC,8.0,Fighting,2023,9,1.133,0.009,7.345
