title,platform,score,genre,release_year,release_month
South Park: Snow Day,Xbox Series X|S,3,Action,2024,3
South Park: Snow Day,PC,3,Action,2024,3
MLB The Show 24,PlayStation 4,8,Sports,2024,3
MLB The Show 24,Nintendo Switch,8,Sports,2024,3
MLB The Show 24,Xbox One,8,Sports,2024,3
Dragon's Dogma 2,PC,8,Action,2024,3
Alone in the Dark,Xbox Series X|S,6,Action,2024,3
Alone in the Dark,PC,6,Action,2024,3
Tribes 3: Rivals,PC,7,Action,2049,12
Tribes 3: Rivals,PlayStation 5,7,Action,2049,12
Lightyear Frontier,PC,7,RPG,2024,3
Lightyear Frontier,Xbox One,7,RPG,2024,3
Outcast: A New Beginning,PC,7,Action,2024,3
Contra: Operation Galuga,Nintendo Switch,6,Action,2024,3
Contra: Operation Galuga,PC,6,Action,2024,3
Contra: Operation Galuga,PlayStation 4,6,Action,2024,3
Contra: Operation Galuga,Xbox One,6,Action,2024,3
Balatro,PlayStation 4,9,PlayStation 4,2024,2
Balatro,PC,9,PlayStation 4,2024,2
Balatro,Xbox One,9,PlayStation 4,2024,2
Balatro,Macintosh,9,PlayStation 4,2024,2
Unicorn Overlord,Xbox Series X|S,9,RPG,2024,3
Unicorn Overlord,PlayStation 4,9,RPG,2024,3
Expeditions: A Mudrunner Game,Xbox One,8,PlayStation 4,2024,3
Expeditions: A Mudrunner Game,PlayStation 4,8,PlayStation 4,2024,3
Expeditions: A Mudrunner Game,PC,8,PlayStation 4,2024,3
WWE 2K24,PC,8,Wrestling,2024,3
WWE 2K24,PlayStation 4,8,Wrestling,2024,3
WWE 2K24,Xbox One,8,Wrestling,2024,3
The Thaumaturge,PC,8,Adventure,2024,12
The Thaumaturge,PlayStation 5,8,Adventure,2024,12
Outlast Trials,Xbox One,7,Action,2024,3
Outlast Trials,PlayStation 4,7,Action,2024,3
Outlast Trials,PC,7,Action,2024,3
Outlast Trials,PlayStation 5,7,Action,2024,3
Splatoon 3: Side Order,Nintendo Switch,8,Shooter,2024,2
Sons of the Forest,PC,9,Adventure,2023,2
Last Epoch,PC,8,Action,2024,2
Pacific Drive,PC,7,Adventure,2024,2
Helldivers II,PC,9,Action,2024,2
Deep Rock Galactic: Survivor,PC,8,Action,2024,2
Atomic Heart - Trapped in Limbo,PlayStation 4,3,Action,2024,2
Atomic Heart - Trapped in Limbo,PC,3,Action,2024,2
Atomic Heart - Trapped in Limbo,Xbox One,3,Action,2024,2
Banishers,Xbox Series X|S,7,Action,2024,2
Banishers,PC,7,Action,2024,2
The Inquisitor,PC,6,Action,2024,2
Suicide Squad,PC,5,Action,2024,1
Granblue Fantasy: Relink,PlayStation 4,8,Action,2024,2
Granblue Fantasy: Relink,PC,8,Action,2024,2
Persona 3: Reload,Xbox One,9,RPG,2024,2
Persona 3: Reload,PlayStation 5,9,RPG,2024,2
Persona 3: Reload,PlayStation 4,9,RPG,2024,2
Persona 3: Reload,PC,9,RPG,2024,2
Palworld,Xbox One,7,RPG,2024,1
Palworld,PC,7,RPG,2024,1
Enshrouded,PC,8,Action,2024,12
Enshrouded,PlayStation 5,8,Action,2024,12
Palworld,Xbox One,8,RPG,2024,1
Palworld,PC,8,RPG,2024,1
Like a Dragon: Infinite Wealth,PlayStation 4,9,Action,2024,1
Like a Dragon: Infinite Wealth,PlayStation 5,9,Action,2024,1
